效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
211201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211,,,,
211202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,,,,
211203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,,,,
211204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244,,,,
211205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,,,,
211206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266,,,,
211207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277,,,,
211208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288,,,,
211209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,,,,
211210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,,,,
211211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,,,,
211212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332,,,,
211213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343,,,,
211214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,,,,
211215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,,,,
211216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,,,,
211217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387,,,,
211218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,,,,
211219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409,,,,
211220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,,,,
211221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,,,,
211222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,,,,
211223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,,,,
211224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464,,,,
211225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,,,,
211226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,,,,
211227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,,,,
211228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,,,,
211229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,,,,
211230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,,,,
211231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541,,,,
211232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552,,,,
211233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563,,,,
211234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574,,,,
211235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,,,,
211236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,,,,
211237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607,,,,
211238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,,,,
211239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,,,,
211240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,,,,
211241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651,,,,
211242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,,,,
211243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673,,,,
211244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,,,,
211245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,,,,
211246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706,,,,
211247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717,,,,
211248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,,,,
211249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2739,,,,
211250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,,,,
211251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761,,,,
211252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,,,,
211253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2783,,,,
211254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794,,,,
211255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805,,,,
211256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816,,,,
211257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,,,,
211258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,,,,
211259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2849,,,,
211260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,,,,
211261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2871,,,,
211262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882,,,,
211263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2893,,,,
211264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,
211265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915,,,,
211266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926,,,,
211267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937,,,,
211268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,,,,
211269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959,,,,
211270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,,,
211271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981,,,,
211272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992,,,,
211273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003,,,,
211274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014,,,,
211275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025,,,,
211276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036,,,,
211277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047,,,,
211278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058,,,,
211279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3069,,,,
211280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,,,,
211281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091,,,,
211282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102,,,,
211283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3113,,,,
211284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,,,,
211285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3135,,,,
211286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146,,,,
211287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3157,,,,
211288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168,,,,
211289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179,,,,
211290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,,,,
211291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,,,,
211292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212,,,,
211293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223,,,,
211294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3234,,,,
211295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245,,,,
211296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3256,,,,
211297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3267,,,,
211298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,,,,
211299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289,,,,
211300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,
212001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
212002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
212003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
212004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,
212005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,
212006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,
212007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,
212008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,
212009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,
212010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,
212011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,
212012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,
212013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,
212014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,
212015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,
212016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,
212017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,
212018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,
212019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,
212020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,
212021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,
212022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,
212023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,
212024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,
212025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,
212026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,
212027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,
212028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,
212029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,
212030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,
212031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,
212032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,
212033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,
212034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,
212035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,
212036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,
212037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,
212038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,
212039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,
212040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,
212041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,
212042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,
212043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,
212044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,
212045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,
212046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,
212047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,
212048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,
212049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,
212050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,
212051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,
212052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,
212053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,
212054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,
212055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,
212056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,
212057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,
212058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,
212059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,
212060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,
212061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,
212062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,
212063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,
212064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,
212065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,
212066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,
212067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,
212068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,
212069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,
212070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,
212071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,
212072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,
212073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,
212074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,
212075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,
212076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,
212077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,
212078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,
212079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,
212080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,
212081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,
212082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,
212083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,
212084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,
212085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,
212086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,
212087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,
212088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,
212089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,
212090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,
212091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,
212092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,
212093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,
212094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,
212095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,
212096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,
212097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,
212098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,
212099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,
212100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,
212101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,
212102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,
212103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,
212104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,
212105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,
212106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166,
212107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,
212108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188,
212109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199,
212110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,
212111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,
212112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,
212113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,
212114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254,
212115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265,
212116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,
212117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287,
212118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298,
212119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309,
212120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,
212121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331,
212122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,
212123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353,
212124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,
212125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,
212126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,
212127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397,
212128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,
212129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419,
212130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,
212131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441,
212132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,
212133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463,
212134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474,
212135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,
212136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,
212137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,
212138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,
212139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529,
212140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,
212141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551,
212142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562,
212143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,
212144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,
212145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,
212146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,
212147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617,
212148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,
212149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639,
212150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,
212151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,
212152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,
212153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,
212154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,
212155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705,
212156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,
212157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,
212158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738,
212159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749,
212160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,
212161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,
212162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782,
212163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793,
212164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,
212165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,
212166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,
212167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,
212168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848,
212169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859,
212170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,
212171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881,
212172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,
212173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903,
212174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,
212175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,
212176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,
212177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,
212178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,
212179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,
212180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,
212181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,
212182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,
212183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,
212184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
212185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,
212186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046,
212187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057,
212188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068,
212189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079,
212190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,
212191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101,
212192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,
212193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123,
212194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,
212195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,
212196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156,
212197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167,
212198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,
212199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189,
212200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,
212201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211,
212202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,
212203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,
212204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244,
212205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,
212206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266,
212207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277,
212208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288,
212209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,
212210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,
212211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,
212212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332,
212213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343,
212214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,
212215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,
212216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,
212217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387,
212218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,
212219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409,
212220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,
212221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,
212222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,
212223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,
212224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464,
212225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,
212226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,
212227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,
212228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,
